"Path","SHA256","Lines"
"lib\components\client_card\client_card_model.dart","B0F909CFE357DABF30719B61E4A9F21567F4DCB53DCFB65ECEC7251E5C020A17","11"
"lib\components\client_card\client_card_widget.dart","CAF50C04D1C4FB01EBAB082BAC9A55B36D9B2C81E141ED40196AA3620253F191","190"
"lib\components\credit_stat\credit_stat_model.dart","B373A6AE89D8BA1F8136266712E5ED98DE795A8897426E8E74117C8A16737D81","11"
"lib\components\credit_stat\credit_stat_widget.dart","69E4D20B5AA3E2A00D77F84331EFFC69D4ADBAFC94E9775817A5C9690012022C","119"
"lib\components\form_field\form_field_model.dart","85026EBF4AEBE60B1994B7EB8E9A50D5CDB61706B135D8924C44E60F2ECDC48D","21"
"lib\components\form_field\form_field_widget.dart","DD2B567A534F551D8A11918EADD65E7BCB4F3BA3F3F508C39DD9022371DFD468","115"
"lib\components\history_stat\history_stat_model.dart","3444DAF19757E750CB6302406C9488D2878710FA5BBE1F69BBBD0B28F8C7991F","11"
"lib\components\history_stat\history_stat_widget.dart","43E554E190FBB1D80DCFD530FFEE0F9BBC9A2E56FA2A5E5692818C8F347A6CEF","123"
"lib\components\inventory_stat\inventory_stat_model.dart","26AE082BA47DE897B1DF0D39ADA0E63C0D7022DF747B527BA771317A240CB7D5","11"
"lib\components\inventory_stat\inventory_stat_widget.dart","366D269E283E708E19A4D69B48A91914E7F6655CFA80EBA7D5C1AF53FEA24869","136"
"lib\components\login_background\login_background_model.dart","69C64C7463E69FD0B0E3D7ACE93943EACAE9CC2D82F27E678A1CAAE9E03BCB0B","11"
"lib\components\login_background\login_background_widget.dart","593CA88EDED04566C798DB9D98F8E51D8011AD3EBA8A5C5DE4A1F7C4EBBCD60A","100"
"lib\components\login_background_child\login_background_child_model.dart","ED60FB82848662696A59F4EB273FF015C341D74C424BAE856FD67C4A3A78F519","39"
"lib\components\login_background_child\login_background_child_widget.dart","DB9CEC2A1C08D819E9AABC9CF1D96452EFA96573B1ACDE78C463020CB3871C83","375"
"lib\components\metric_card\metric_card_model.dart","D1F3908E12ADB1501E2902643A8210E571500ADA2FB7AF976D319404B144EF73","11"
"lib\components\metric_card\metric_card_widget.dart","B4F98CFB3CEC6FD28F9607BAF14B7FAFBB557A7BD8CCBAA602FE809634FC229F","176"
"lib\components\movement_item\movement_item_model.dart","6235A42E3A97024F5966B8B605ECE1D44D0799CB38BFD64FD2BCE0AE33F4C532","11"
"lib\components\movement_item\movement_item_widget.dart","702E93767B5648D5BC7EF2A8F9104BCB312E6A6B05E6F812204CF6886E893F9B","145"
"lib\components\nav_item\nav_item_model.dart","B6A363249D257BE1388496F5D5646C4E781EB28D545E48832C1D6639F48C0819","11"
"lib\components\nav_item\nav_item_widget.dart","1B404FF22EA4A7F1C942400A77930AAB17B351F790280EC440F7575C03F4BEB8","126"
"lib\components\pie_chart\pie_chart_model.dart","950B43CF34067DCE9DE94BD667CE8C33A4AAAA8E19F5CAA5C4977115AD36AA59","25"
"lib\components\pie_chart\pie_chart_widget.dart","A24A494148B1854C12B709A5185F2F429981CA291B99AD33E2C61350033BD0D1","260"
"lib\components\product_item\product_item_model.dart","6DB346BF2845476CA82F762F8703EBC7287AE77BC89A2312907F411B35F7AA70","11"
"lib\components\product_item\product_item_widget.dart","1517E6F32099FB33C5AB1ACD835AA501D8DEEB7E59D0AF3BC249362871D07EAB","207"
"lib\components\product_search_item\product_search_item_model.dart","5D3397341FC9611F53E45755F935220F0032D604C6689EF37F56AF7FC0088795","11"
"lib\components\product_search_item\product_search_item_widget.dart","99758DC977DADC143E06EC1E31BD5ED691E55A516C2E6444B01EE930DECB03AC","165"
"lib\components\quick_action\quick_action_model.dart","BFF2BC2607BE477B28FCAC615A2D3A445795C252470DCBDF21CF05705F68DC53","11"
"lib\components\quick_action\quick_action_widget.dart","304AD0EDD70483E71FC8601B26D076527B4E5B5C1AD56FA2BBCF18C69F8309D9","125"
"lib\components\sale_row\sale_row_model.dart","6514C9FA67C8300DEDA67BA1D65C1774DAB46113A9B1A2FDF7BC6A7B3BDB112D","11"
"lib\components\sale_row\sale_row_widget.dart","44BC443716DC82DA577B3D1747171A60E3EA1B21A58DA12A6D560CF3CB4D9166","217"
"lib\components\settings_tile\settings_tile_model.dart","BD97EBAF8A315689B74F57E1E0E09C92980AF763988F4C82F9E569D740B296F8","11"
"lib\components\settings_tile\settings_tile_widget.dart","3E8845AA336F44A15D842D080A4F4A9CB09A30554293DEB232CA2FE873453888","152"
"lib\components\stat_card\stat_card_model.dart","95FE2FB264CBAEF03446BF7D894367F6A042DF92E28C27AB71B2153D5612CC26","11"
"lib\components\stat_card\stat_card_widget.dart","53749DA71DD19A46BCA28898152A8CBBAD9CD1249EDB73069FDE6407477A3D48","177"
"lib\components\text_field\text_field_model.dart","9FC3F929FB3D93F668758A0857EF8383BE99AC207CB0863D87843360DD2BB424","21"
"lib\components\text_field\text_field_widget.dart","3008121E3C043DCBECCB737866D3C96F3C4CF048BAB7D1A0D1721D71B4B68E96","262"
"lib\database\database_helper.dart","4EBEC6C7472C8A9212CADB91F4741686EC6AEA9EB5D888520ED6271D673C1C4F","1103"
"lib\database\inventory_initializer.dart","7289D033E6101F5BB9183CAA95AF2DFCC04E32B51F59678AFCAC71C74B31A572","91"
"lib\flutter_flow\flutter_flow_charts.dart","4B81CC1EF8012C5C3D04DCD5F2C5DABBFA685EA815FD96AF8477DED4A9423E8B","162"
"lib\flutter_flow\flutter_flow_icon_button.dart","A052D0BABAD637E33180450E1271F0F7B8A302455B2FD5CED4219BE630A439A2","39"
"lib\flutter_flow\flutter_flow_localizations.dart","286A8DDFB78A9531FD489B4C2C1A0787BD18FBD1F60C926428D725DFBEA7509C","2"
"lib\flutter_flow\flutter_flow_theme.dart","1561F55856ED9E7FBDCB2A4F4F5C7EDF59E4B831116871EBD27056FAD3379628","147"
"lib\flutter_flow\flutter_flow_util.dart","AA2F1E80C8EFDE272C410FE0EB6720C143575DAE7D47E4848EB34AC942FE0871","69"
"lib\flutter_flow\flutter_flow_widgets.dart","D0C023C65F4839FEB2D5EE2EB7C91FF6897416EFB09A842A9D5B5131E0D802DE","52"
"lib\index.dart","E29E8E4CB0DFE425B73BF43FE8BFAFCD8F8B84926064BF9CAE2463CA0825B7F8","54"
"lib\main.dart","73A5A39D6F5C03D088A584DFECA493A11DAE95922C269320ADCC30CF8AE5B4D1","195"
"lib\models\lote_model.dart","8301E767A7BCF311EAD8B7FBB3C765BFBA8585A67F669B7822A9A343CE75E73F","63"
"lib\models\producto_model.dart","B061BD5343756414B8196B121A3DFE56272FB46B4501488052536A419BDC0EA1","111"
"lib\pages\clientes_y_cr_ditos\clientes_y_cr_ditos_model.dart","B0D45B8773E84CF0D2E4E22C9991795615C1449181CD48F135930FEB7D40CDF1","61"
"lib\pages\clientes_y_cr_ditos\clientes_y_cr_ditos_widget.dart","16C001DE185EF5EE47F7F527D9F530690A129D0563940267E8D2764A5CC1958D","782"
"lib\pages\configuraci_n_y_empresas\configuraci_n_y_empresas_model.dart","B39C20AAE72EF67938EB087484247FB40A0461EC56A71F4B465062303929BDD4","57"
"lib\pages\configuraci_n_y_empresas\configuraci_n_y_empresas_widget.dart","BE5120F690E1A6A8E77F99F115BECCB837D9267D46CBAB42AF6ECC225F3489F1","1169"
"lib\pages\gesti_n_de_caja\gesti_n_de_caja_model.dart","6CD04DB6208AA302CC513D6EA1B004C6390B3ABC0763B17ACD24F4B698EA2AB0","68"
"lib\pages\gesti_n_de_caja\gesti_n_de_caja_widget.dart","5581B40898FC5754936E16F3C32FDC7C0B1384781AAD313DF64E8E635BE2F4CE","691"
"lib\pages\historial_de_ventas\historial_de_ventas_model.dart","D82CCBDB1462DD976D8322DD7E88CBF761C847972FACCFBB01316D9F897F7FD8","59"
"lib\pages\historial_de_ventas\historial_de_ventas_widget.dart","7D3A182E242CFD64C91F1B40B81DD45D1C64CD4253C031FE4B750EF3541AE06F","677"
"lib\pages\inicio_de_sesi_n\inicio_de_sesi_n_model.dart","2FACF480C7C44BB2B7155CFE3D071499E8CA089603C69FFF2E9D666084CFCC60","21"
"lib\pages\inicio_de_sesi_n\inicio_de_sesi_n_widget.dart","ED08D74AA4E3DDB034CB354F955BCF55F5B87E7050EE5E05B931CA7E2B3D5632","67"
"lib\pages\inventario_de_productos\inventario_de_productos_model.dart","3E6B8818BF9374A77D26D8A5345D5FDFCF21C2DEFF77052FAA19A92C73DD78D5","61"
"lib\pages\inventario_de_productos\inventario_de_productos_widget.dart","E707429D4468669B7C7F313398DDF48853833AC4A8EC5BB7B7A8903DAA3C3D82","1394"
"lib\pages\panel_principal\panel_principal_model.dart","22B0EA3BBBBD88104DAA045B83092BF5B9E763811BCDD2C4FCA52EFDF82C563E","79"
"lib\pages\panel_principal\panel_principal_widget.dart","22D827102D18EF804F764D9A659629A930CE21059A8C6C5C58B88BEFF004F3F3","796"
"lib\pages\punto_de_venta\punto_de_venta_model.dart","8BACEE213693E3E07C4AB2A0FF8A3EF4F264ED83D6EBADB8E41F4C4F75CB41EC","166"
"lib\pages\punto_de_venta\punto_de_venta_widget.dart","EB48076B058342DC9A8116FA5103AD041EC67294CA3BC3E1F301C035A0A67848","2501"
"lib\pages\registro_de_negocio\registro_de_negocio_model.dart","1A3EAEDAEF83F7AD5FDD90ECFFF852E132B56EA7EEA3C8A23A15F676B979C39D","87"
"lib\pages\registro_de_negocio\registro_de_negocio_widget.dart","044E4A7D1B6266B8D5C3633A89F01C6FE8EBF0F9AEDF0398C52AD702FA796567","784"
"lib\pages\reportes_y_m_tricas\reportes_y_m_tricas_model.dart","5109902E553744EEB53B1B60D8FFCE5FB774B4CB8652B6B53D958004756FD5AA","48"
"lib\pages\reportes_y_m_tricas\reportes_y_m_tricas_widget.dart","B2E420A20A683A58330752512939B2A39CEA96DC4C7C83B512BA6446A5F9899F","925"
"lib\services\open_food_facts_service.dart","22452844D5BC4FB5770A6FA6D9A8BFF43A7150120EBC7BD78B35F37481EC7C21","235"
"lib\services\supabase_service.dart","57F2B72263EA406E2979494E8BB2B454C83373FB8BCC9CFD7DEF639261E3A06F","819"
